customer_id,age,Income,credit_score,loan_amount,loan_status,interest_rate,tenure
1,25,49,756,50,yes,0.13,2
2,45,34,766,50,yes,0.13,2
3,39,11,780,50,yes,0.13,2
4,35,15050,810,50,yes,0.13,2
5,35,45,780,50,yes,0.13,2
6,37,29,816,155,yes,0.13,1
7,53,72,766,50,yes,0.13,1
8,35,22,776,50,yes,0.13,2
9,35,81,756,1504,yes,0.13,1
10,34,1850,789,50,yes,0.13,2
11,65,1505,765,50,yes,0.13,2
12,29,45,820,50,yes,0.13,1
13,48,114,712,50,yes,0.13,2
14,59,30,755,50,yes,0.13,1
15,67,112,761,50,yes,0.13,2
16,55,22,766,50,yes,0.13,1
17,38,1350,756,134,yes,0.13,2
18,42,81,751,50,yes,0.13,2
19,46,193,667,50,yes,0.13,2
20,55,21,765,50,yes,0.13,2
21,56,25,767,111,yes,0.13,1
22,57,63,773,50,yes,0.13,1
23,29,62,780,2650,yes,0.13,1
24,44,43,723,163,yes,0.13,2
25,36,152,732,159,yes,0.13,2
26,43,29,765,97,yes,0.13,1
27,30,83,721,50,yes,0.13,2
28,46,158,751,50,yes,0.13,1
29,56,48,752,50,yes,0.13,1
30,38,119,745,50,yes,0.125,1
31,59,35,780,122,yes,0.13,1
32,30,29,769,50,yes,0.13,1
33,53,41,756,193,yes,0.13,2
34,24,18,767,50,yes,0.13,2
35,31,550,776,50,yes,0.13,1
36,48,81,723,50,yes,0.13,2
37,59,121,709,50,yes,0.13,2
38,51,71,761,198,yes,0.13,2
39,42,141,783,50,yes,0.125,1
40,38,850,723,285,yes,0.13,1
41,57,84,756,50,yes,0.13,2
42,34,650,746,50,yes,0.13,2
43,32,132,772,412,yes,0.13,1
44,39,45,723,50,yes,0.13,1
45,46,1504,728,50,yes,0.13,1
46,57,52,749,50,yes,0.13,2
47,39,43,723,153,yes,0.13,1
48,37,194,721,211,yes,0.125,1
49,56,81,762,50,yes,0.13,2
50,30,49,776,50,yes,0.13,2
51,32,8,723,50,yes,0.13,1
52,61,131,731,50,yes,0.13,1
53,24,72,820,2507,yes,0.13,2
54,32,1950,810,230,yes,0.13,1
55,29,44,721,50,yes,0.13,1
56,41,139,667,50,yes,0.13,1
57,55,29,820,50,yes,0.125,1
58,56,131,780,50,yes,0.13,2
59,28,93,721,50,yes,0.13,2
60,31,188,720,455,yes,0.13,2
61,49,39,786,50,yes,0.13,1
62,47,125,728,112,yes,0.13,2
63,42,22,780,50,yes,0.13,2
64,42,32,711,50,yes,0.13,1
65,47,1505,717,50,yes,0.13,2
66,59,131,712,50,yes,0.13,1
67,62,1505,709,336,yes,0.13,2
68,53,45,791,132,yes,0.13,2
69,47,650,724,50,yes,0.13,1
70,53,250,721,50,yes,0.13,1
71,42,115,724,50,yes,0.13,2
72,53,69,780,50,yes,0.13,1
73,44,1350,765,50,yes,0.13,2
74,41,85,768,50,yes,0.13,1
75,28,135,717,50,yes,0.13,2
76,31,135,712,50,yes,0.125,1
77,58,12,776,50,yes,0.13,2
78,46,29,765,50,yes,0.13,2
79,54,133,760,50,yes,0.13,2
80,32,19,816,118,yes,0.13,1
81,37,41,705,174,yes,0.13,1
82,47,30,810,50,yes,0.13,1
83,41,82,673,50,yes,0.13,1
84,33,550,751,50,yes,0.13,2
85,46,18,767,50,yes,0.13,1
86,27,1509,776,50,yes,0.13,2
87,30,42,782,126,yes,0.13,2
88,48,78,772,50,yes,0.13,1
89,65,51,772,50,yes,0.13,1
90,25,113,746,50,yes,0.13,2
91,55,118,763,50,yes,0.13,1
92,35,29,772,50,yes,0.13,1
93,43,34,756,50,yes,0.13,2
94,37,64,745,236,yes,0.13,1
95,65,121,763,50,yes,0.13,2
96,38,48,721,50,yes,0.13,1
97,41,850,741,50,yes,0.13,2
98,54,161,744,50,yes,0.13,1
99,49,94,776,50,yes,0.13,1
100,66,15,820,50,yes,0.13,1
101,48,74,780,50,yes,0.13,1
102,61,350,705,50,yes,0.13,2
103,53,44,780,198,yes,0.13,1
104,43,22,776,50,yes,0.13,1
105,56,38,705,166,yes,0.13,1
106,24,35,820,50,yes,0.13,1
107,43,69,711,50,yes,0.13,1
108,42,43,723,136,yes,0.13,2
109,33,32,756,166,yes,0.13,1
110,43,49,734,50,yes,0.13,1
111,41,9,780,50,yes,0.13,2
112,62,45,705,50,yes,0.13,1
113,30,82,780,3509,yes,0.13,2
114,58,92,751,1503,yes,0.13,2
115,39,39,765,50,yes,0.13,1
116,65,81,776,50,yes,0.13,1
117,54,35,766,50,yes,0.13,1
118,58,61,746,193,yes,0.13,1
119,41,73,754,50,yes,0.13,1
120,32,112,756,366,yes,0.13,2
121,54,12,721,50,yes,0.13,1
122,52,38,767,50,yes,0.13,1
123,58,73,723,50,yes,0.13,1
124,37,84,761,50,yes,0.13,2
125,39,78,751,118,yes,0.13,1
126,37,850,765,50,yes,0.13,1
127,31,115,705,1501,yes,0.13,1
128,34,82,810,251,yes,0.13,1
129,38,74,711,50,yes,0.13,1
130,41,750,765,50,yes,0.13,2
131,28,81,766,276,yes,0.13,1
132,58,149,765,50,yes,0.125,1
133,31,51,745,50,yes,0.13,2
134,24,39,772,50,yes,0.13,1
135,53,98,776,50,yes,0.13,2
136,58,45,724,50,yes,0.13,1
137,59,49,765,50,yes,0.13,1
138,49,128,816,50,yes,0.13,2
139,59,42,766,50,yes,0.125,2
140,59,18,780,50,yes,0.13,1
141,51,31,816,161,yes,0.13,1
142,35,58,876,149,yes,0.13,1
143,33,48,724,50,yes,0.13,2
144,25,54,756,50,yes,0.13,1
145,49,750,766,50,yes,0.13,2
146,59,124,754,50,yes,0.13,2
147,46,84,709,50,yes,0.13,1
148,32,83,769,188,yes,0.13,1
149,52,163,816,116,yes,0.13,1
150,48,42,786,50,yes,0.13,2
151,46,118,711,50,yes,0.125,1
152,26,132,714,50,yes,0.13,2
153,57,24,705,50,yes,0.13,1
154,37,22,780,50,yes,0.125,1
155,54,58,705,50,yes,0.13,2
156,24,650,756,50,yes,0.13,1
157,26,15,816,50,yes,0.13,2
158,41,83,709,50,yes,0.13,1
159,32,79,766,50,yes,0.13,1
160,61,41,745,50,yes,0.13,1
161,29,134,714,50,yes,0.13,2
162,61,850,756,50,yes,0.13,1
163,38,52,675,50,yes,0.13,2
164,28,750,766,50,yes,0.13,1
165,53,92,772,50,yes,0.13,2
166,27,43,766,50,yes,0.13,1
167,25,21,780,50,yes,0.13,2
168,33,23,767,50,yes,0.13,1
169,32,13,780,50,yes,0.13,1
170,27,112,724,50,yes,0.13,2
171,27,138,765,50,yes,0.13,1
172,52,11,816,50,yes,0.13,2
173,38,171,724,50,yes,0.13,1
174,58,42,766,50,yes,0.13,1
175,42,168,752,50,yes,0.13,1
176,45,85,772,50,yes,0.13,1
177,52,44,780,135,yes,0.13,1
178,29,65,776,244,yes,0.13,2
179,53,24,721,50,yes,0.13,1
180,62,11,820,50,yes,0.13,1
181,51,38,780,164,yes,0.13,1
182,36,150,723,81,yes,0.13,2
183,24,135,766,50,yes,0.13,1
184,29,148,712,50,yes,0.13,1
185,52,63,766,50,yes,0.13,1
186,39,115,780,50,yes,0.13,1
187,48,45,776,50,yes,0.13,1
188,46,159,715,315,yes,0.13,1
189,64,169,724,122,yes,0.13,1
190,55,112,717,50,yes,0.13,1
191,37,93,705,50,yes,0.13,1
192,51,29,776,130,yes,0.13,2
193,32,85,709,50,yes,0.13,1
194,48,21,756,50,yes,0.13,1
195,53,144,708,50,yes,0.13,1
196,34,13,780,95,yes,0.13,1
197,48,165,766,50,yes,0.13,2
198,55,9,723,89,yes,0.13,1
199,27,59,711,950,yes,0.13,1
200,36,158,771,50,yes,0.125,1
201,32,29,715,50,yes,0.13,1
202,35,250,717,50,yes,0.13,1
203,24,68,766,50,yes,0.13,1
204,58,65,765,50,yes,0.13,1
205,56,61,715,1505,yes,0.13,2
206,38,91,717,15050,yes,0.13,2
207,49,31,780,50,yes,0.13,1
208,34,71,820,50,yes,0.13,2
209,30,73,709,50,yes,0.13,1
210,64,172,785,282,yes,0.125,1
211,51,250,711,50,yes,0.13,2
212,44,55,721,50,yes,0.13,2
213,46,69,745,2509,yes,0.13,2
214,57,155,754,50,yes,0.13,1
215,54,94,715,50,yes,0.13,2
216,38,92,711,249,yes,0.13,1
217,27,125,756,50,yes,0.13,2
218,39,74,764,50,yes,0.13,2
219,44,72,776,50,yes,0.13,1
220,56,61,755,50,yes,0.13,1
221,32,25,776,50,yes,0.13,2
222,45,83,745,50,yes,0.13,1
223,26,1504,755,50,yes,0.13,2
224,55,41,780,50,yes,0.13,1
225,52,58,776,91,yes,0.13,2
226,39,93,766,50,yes,0.13,2
227,24,39,745,50,yes,0.13,2
228,47,148,711,50,yes,0.125,1
229,47,53,715,98,yes,0.125,2
230,48,71,745,145,yes,0.13,2
231,47,92,788,50,yes,0.13,1
232,35,61,724,50,yes,0.13,1
233,46,38,761,135,yes,0.13,2
234,62,58,745,50,yes,0.13,1
235,26,850,763,1550,yes,0.13,2
236,38,71,776,50,yes,0.13,1
237,43,89,765,50,yes,0.13,1
238,62,83,776,50,yes,0.13,1
239,57,28,721,50,yes,0.13,1
240,28,52,745,50,yes,0.13,2
241,51,750,780,169,yes,0.13,2
242,48,71,717,50,yes,0.13,2
243,41,75,761,2850,yes,0.13,2
244,65,1750,752,99,yes,0.125,1
245,41,78,763,78,yes,0.13,1
246,35,25,780,50,yes,0.13,2
247,38,650,756,50,yes,0.13,1
248,53,1250,810,111,yes,0.125,1
249,55,99,717,264,yes,0.13,1
250,26,55,763,113,yes,0.13,2
251,24,29,780,117,yes,0.13,2
252,54,1750,775,325,yes,0.13,1
253,65,53,769,50,yes,0.13,2
254,47,138,711,50,yes,0.13,2
255,65,134,732,121,yes,0.13,1
256,66,42,723,138,yes,0.13,2
257,26,99,746,50,yes,0.13,2
258,66,18,765,50,yes,0.13,2
259,35,24,776,50,yes,0.13,1
260,56,55,717,77,yes,0.13,1
261,51,58,711,50,yes,0.13,2
262,42,111,780,251,yes,0.13,1
263,49,33,776,50,yes,0.125,1
264,27,74,776,112,yes,0.13,1
265,45,38,723,50,yes,0.13,2
266,49,23,756,98,yes,0.13,2
267,63,61,766,50,yes,0.13,1
268,47,81,772,138,yes,0.13,2
269,64,129,876,50,yes,0.13,1
270,43,33,771,50,yes,0.13,2
271,37,63,770,50,yes,0.13,1
272,30,750,717,50,yes,0.13,1
273,29,45,721,158,yes,0.13,1
274,41,65,765,50,yes,0.13,1
275,24,74,750,50,yes,0.13,2
276,49,550,776,50,yes,0.13,2
277,24,22,765,1509,yes,0.13,1
278,29,350,780,50,yes,0.13,2
279,32,21,780,50,yes,0.13,1
280,39,155,732,50,yes,0.13,1
281,33,64,724,164,yes,0.13,1
282,57,65,755,50,yes,0.13,2
283,34,71,723,50,yes,0.13,1
284,61,30,765,50,yes,0.13,1
285,44,69,765,50,yes,0.13,1
